,,,,,,,,,,,,,,
Summary Information,,,,,,,Covariance Matrix,,,,,,,
Assets,Expected Return,St Dev (Risk),Min Weight,Max Weight,Weight,,,S&P 500,Gold,Nvidia,VCIT,,,
S&P 500,10%,16.50%,15%,35%,25%,,S&P 500,#DIV/0!,9.82338E-06,0.00018919,1.28194E-05,,,
Gold,10%,28.50%,15%,35%,25%,,Gold,9.82338E-06,#DIV/0!,8.08031E-06,5.54598E-06,,,
Nvidia,50%,39.30%,15%,35%,25%,,Nvidia,0.00018919,8.08031E-06,0.000573068,1.37375E-05,,,
VCIT,4.50%,4.80%,15%,35%,25%,,VCIT,1.28194E-05,5.54598E-06,1.37375E-05,#DIV/0!,,,
,,,,,,,,,,,,,,
Portfolio Statistics,,,Risk Free Rate,,,,,,,,,,,
Sharpe Ratio,#DIV/0!,,2%,,,,,,,,,,,
Expected Returns,18.63%,,,,,,,,,,,,,
Standard Deviation,#DIV/0!,,,,,,,  ,,,,,,
Total Weight,100%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
